,Gare,Latitude,Longitude
422,Byans-sur-Doubs,47.1185334,5.8520589
423,Cadaujac,44.7520628,-0.5376186
424,Caen,49.176354,-0.347613
425,Caffiers,50.8500679,1.8120345
426,Cagnes-sur-Mer,43.65813,7.14864
427,Cahors,44.449275,1.433325
428,Calais,50.953481,1.850819
429,Calais - Fréthun,50.901221,1.810891
430,Callac,48.4062201,-3.419782
431,Calonne-Ricouart,50.4827036,2.4812098
432,Cambo-les-Bains,43.3656242,-1.3966849
433,Cambrai,50.17662,3.24118
434,Campagnac - Saint-Geniez,44.4219559,3.0664008
435,Campagne-sur-Aude,42.9169668,2.2056265
436,Cannes,43.553839,7.019682
437,Cannes La Bocca,43.548787,6.986601
438,Cantin,50.3124545,3.121943
439,Cap-d'Ail,43.7205382,7.3943362
440,Capdenac,44.5782458,2.0779632
441,Capvern,43.1033454,0.3296393
442,Carantilly - Marigny,49.06786,-1.2445285
443,Carbonne,43.298206,1.212531
444,Carcassonne,43.218029,2.351824
445,Carentan,49.302482,-1.244938
446,Carhaix-Plouguer,48.2780022,-3.5622173
447,Carignan,49.6285736,5.1684754
448,Carmaux,44.048782,2.152401
449,Carnoët - Locarn,48.3405242,-3.4908822
450,Carnoles,43.76203,7.48139
451,Carnoules,43.2974104,6.1862531
452,Carpentras,44.0499488,5.044141
453,Carry-le-Rouet,43.336592,5.153594
454,Casino Lacroix Laval,45.7878115,4.7309383
455,Cassel,50.7875916,2.4599722
456,Cassis,43.23406,5.553055
457,Castelnau-d'Estrétefonds,43.786196,1.341761
458,Castelnaudary,43.312292,1.95039
459,Castelsarrasin,44.0403503,1.1143954
460,Castillon-la-Bataille,44.856999,-0.04066
461,Castres,43.599131,2.231223
462,Cattenières,50.1280738,3.3337877
463,Caudéran Mérignac,44.84288,-0.6274337
464,Caudrot,44.5801152,-0.1452784
465,Caudry,50.11146,3.40983
466,Caulnes,48.2844264,-2.155593
467,Caussade,44.1622668,1.5336541
468,Cavaillon,43.834554,5.043613
469,Cavignac,45.105163,-0.382243
470,Cazères,43.212834,1.083106
471,Ceilhes - Roqueredonde,43.8122656,3.1551583
472,Ceintrey,48.523865,6.1572868
473,Cenon,44.8563465,-0.5336487
474,Cerbère,42.4417732,3.1634033
475,Cercottes,47.9861553,1.8849813
476,Cercy-la-Tour,46.8578816,3.6452029
477,Cergy le Haut,49.0484932,2.0118725
478,Cergy Préfecture,49.03639,2.07982
479,Cergy Saint-Christophe,49.0496151,2.0343975
