,Date,Température moyenne
1090,2021-12-26,9
1091,2021-12-27,9
1092,2021-12-28,11
1093,2021-12-29,13
1094,2021-12-30,14
1095,2021-12-31,11
1096,2022-01-01,11
1097,2022-01-02,12
1098,2022-01-03,11
1099,2022-01-04,9
1100,2022-01-05,4
1101,2022-01-06,4
1102,2022-01-07,6
1103,2022-01-08,6
1104,2022-01-09,5
1105,2022-01-10,4
1106,2022-01-11,3
1107,2022-01-12,3
1108,2022-01-13,3
1109,2022-01-14,3
1110,2022-01-15,3
1111,2022-01-16,4
1112,2022-01-17,6
1113,2022-01-18,5
1114,2022-01-19,4
1115,2022-01-20,4
1116,2022-01-21,3
1117,2022-01-22,4
1118,2022-01-23,4
1119,2022-01-24,3
1120,2022-01-25,2
1121,2022-01-26,4
1122,2022-01-27,5
1123,2022-01-28,6
1124,2022-01-29,8
1125,2022-01-30,6
1126,2022-01-31,6
1127,2022-02-01,6
1128,2022-02-02,9
1129,2022-02-03,8
1130,2022-02-04,8
1131,2022-02-05,6
1132,2022-02-06,9
1133,2022-02-07,6
1134,2022-02-08,7
1135,2022-02-09,7
1136,2022-02-10,6
1137,2022-02-11,5
1138,2022-02-12,4
1139,2022-02-13,6
1140,2022-02-14,9
1141,2022-02-15,7
1142,2022-02-16,12
1143,2022-02-17,11
1144,2022-02-18,11
1145,2022-02-19,7
1146,2022-02-20,10
1147,2022-02-21,8
1148,2022-02-22,9
1149,2022-02-23,8
1150,2022-02-24,8
1151,2022-02-25,6
1152,2022-02-26,5
1153,2022-02-27,6
1154,2022-02-28,6
1155,2022-03-01,7
1156,2022-03-02,7
1157,2022-03-03,8
1158,2022-03-04,9
1159,2022-03-05,7
1160,2022-03-06,6
1161,2022-03-07,4
1162,2022-03-08,6
1163,2022-03-09,9
1164,2022-03-10,11
1165,2022-03-11,10
1166,2022-03-12,9
1167,2022-03-13,8
1168,2022-03-14,8
1169,2022-03-15,11
1170,2022-03-16,13
1171,2022-03-17,10
1172,2022-03-18,9
1173,2022-03-19,11
1174,2022-03-20,9
1175,2022-03-21,12
1176,2022-03-22,13
1177,2022-03-23,12
1178,2022-03-24,12
1179,2022-03-25,13
1180,2022-03-26,13
1181,2022-03-27,14
1182,2022-03-28,14
1183,2022-03-29,13
1184,2022-03-30,9
1185,2022-03-31,6
1186,2022-04-01,2
1187,2022-04-02,3
1188,2022-04-03,5
1189,2022-04-04,5
1190,2022-04-05,10
1191,2022-04-06,10
1192,2022-04-07,10
1193,2022-04-08,5
1194,2022-04-09,6
1195,2022-04-10,8
1196,2022-04-11,11
1197,2022-04-12,15
1198,2022-04-13,14
1199,2022-04-14,15
1200,2022-04-15,15
1201,2022-04-16,14
1202,2022-04-17,13
1203,2022-04-18,12
1204,2022-04-19,13
1205,2022-04-20,13
1206,2022-04-21,12
1207,2022-04-22,12
1208,2022-04-23,13
1209,2022-04-24,12
1210,2022-04-25,12
1211,2022-04-26,11
1212,2022-04-27,12
1213,2022-04-28,15
1214,2022-04-29,14
1215,2022-04-30,12
1216,2022-05-01,12
1217,2022-05-02,13
1218,2022-05-03,14
1219,2022-05-04,13
1220,2022-05-05,14
1221,2022-05-06,15
1222,2022-05-07,15
1223,2022-05-08,14
1224,2022-05-09,18
1225,2022-05-10,20
1226,2022-05-11,19
1227,2022-05-12,16
1228,2022-05-13,15
1229,2022-05-14,17
1230,2022-05-15,20
1231,2022-05-16,20
1232,2022-05-17,22
1233,2022-05-18,22
1234,2022-05-19,21
1235,2022-05-20,18
1236,2022-05-21,17
1237,2022-05-22,18
1238,2022-05-23,16
1239,2022-05-24,14
1240,2022-05-25,15
1241,2022-05-26,17
1242,2022-05-27,16
